"inputRate","ACrange_round","File"
0.3,2,"stoch_lowA_ACr_guessNA.csv"
0.35,2,"stoch_lowA_ACr_guessNA.csv"
0.4,2,"stoch_lowA_ACr_guessNA.csv"
0.45,16,"stoch_lowA_ACr_guessNA.csv"
0.5,30,"stoch_lowA_ACr_guessNA.csv"
0.55,18,"stoch_lowA_ACr_guessNA.csv"
0.6,12,"stoch_lowA_ACr_guessNA.csv"
0.65,10,"stoch_lowA_ACr_guessNA.csv"
0.7,10,"stoch_lowA_ACr_guessNA.csv"
0.75,10,"stoch_lowA_ACr_guessNA.csv"
0.8,12,"stoch_lowA_ACr_guessNA.csv"
0.85,12,"stoch_lowA_ACr_guessNA.csv"
0.9,14,"stoch_lowA_ACr_guessNA.csv"
0.95,16,"stoch_lowA_ACr_guessNA.csv"
1,16,"stoch_lowA_ACr_guessNA.csv"
1.05,18,"stoch_lowA_ACr_guessNA.csv"
1.1,22,"stoch_lowA_ACr_guessNA.csv"
1.15,26,"stoch_lowA_ACr_guessNA.csv"
1.2,30,"stoch_lowA_ACr_guessNA.csv"
1.25,28,"stoch_lowA_ACr_guessNA.csv"
1.3,4,"stoch_lowA_ACr_guessNA.csv"
1.35,2,"stoch_lowA_ACr_guessNA.csv"
1.4,2,"stoch_lowA_ACr_guessNA.csv"
1.45,2,"stoch_lowA_ACr_guessNA.csv"
1.5,2,"stoch_lowA_ACr_guessNA.csv"
1.55,2,"stoch_lowA_ACr_guessNA.csv"
1.6,2,"stoch_lowA_ACr_guessNA.csv"
1.65,2,"stoch_lowA_ACr_guessNA.csv"
1.7,2,"stoch_lowA_ACr_guessNA.csv"
1.75,2,"stoch_lowA_ACr_guessNA.csv"
1.8,2,"stoch_lowA_ACr_guessNA.csv"
